Provincia;SO2;NOx;COV;CH4;CO;CO2;N2O;NH3;PM2.5;PM10;PTS;CO2 eq;Precurs. O3;Tot. Acidif. (H+)
;t/anno;t/anno;t/anno;t/anno;t/anno;kt/anno;t/anno;t/anno;t/anno;t/anno;t/anno;kt/anno;t/anno;kt/anno
BG;1.051;11.493;29.191;25.514;35.425;6.182;652;7.742;1.705;1.993;2.387;7.468;47.466;738
BS;2.272;14.789;44.777;92.796;31.912;7.924;1.516;24.476;2.179;2.646;3.333;11.210;67.628;1.832
CO;257;3.973;15.218;7.273;7.943;1.683;150;772;875;988;1.185;2.155;21.041;140
CR;631;5.153;16.686;47.363;6.953;2.231;957;17.144;636;773;1.006;3.846;24.401;1.140
LC;130;2.761;8.205;3.100;4.421;1.444;86;489;416;488;580;1.684;12.103;93
LO;127;4.860;8.097;17.953;4.941;3.584;378;6.396;361;439;571;4.239;14.822;486
MB;393;5.700;11.744;4.620;6.946;3.245;135;345;712;847;1.036;3.757;19.527;156
MI;720;20.393;39.870;43.345;23.832;12.615;870;5.674;1.792;2.266;2.862;15.297;67.978;800
MN;445;7.873;17.649;47.031;8.142;5.908;1.223;19.053;806;1.009;1.345;7.615;28.809;1.306
PV;3.272;11.320;23.985;38.806;11.765;8.784;1.028;6.637;1.080;1.232;1.628;10.282;39.633;739
SO;108;1.386;15.963;3.900;4.255;40;218;1.215;450;504;576;276;18.176;105
VA;1.070;9.532;16.243;10.775;15.487;4.984;205;783;1.109;1.309;1.590;5.677;29.727;287